sku,title,name,creator,art_series,price,reservable,symbol,type,likes,cid,path,tags
56,Digital Paint,The Cat Harlequin of Venice,juanmiguelsalas,juanmiguelsalas_digital-paint_the-cat-harlequin-of-venice,30,TRUE,SWAP.HIVE,PHOTO,0,QmQMkLndgtzh8LHDPcNoKvwK3qau1vdaaQi8kWpXkipQCV,,
57,Digital Paint,"Nature, The Real God",juanmiguelsalas,juanmiguelsalas_digital-paint_nature-the-real-god,30,TRUE,SWAP.HIVE,PHOTO,0,QmeniGvQBtr4jPzsX5C6AmBx1muX9LbxdYyqEjvVfDWcN9,,
58,Italian Digital Art,Tutankhamon The Egyptian Pharaoh,alezambo,alezambo_italian-digital-art_tutankhamon-the-egyptian-pharaoh,40,TRUE,SWAP.HIVE,PHOTO,0,QmeaTTXDNsPTpEQaweapritiEdwBCN4eTCFaTqvczYjzqc,,
59,Decomposition,Decomposition 4 - Kid Playing,juanmiguelsalas,juanmiguelsalas_decomposition_decomposition-4-kid-playing,30,TRUE,SWAP.HIVE,PHOTO,0,QmTcJCWzzjjN5f7LAYEd73GrA5Wqfh9M7uF3YGgH86VpEF,,
60,Decomposition,Decomposition 6 - Selfie,juanmiguelsalas,juanmiguelsalas_decomposition_decomposition-6-selfie,30,TRUE,SWAP.HIVE,PHOTO,0,QmX64h1AUFAts1mFF2f8SDBPNaGtqMDRCH6HHbizu5cRPb,,
61,Decomposition,Decomposition 7 - The Kiss,juanmiguelsalas,juanmiguelsalas_decomposition_decomposition-7-the-kiss,30,TRUE,SWAP.HIVE,PHOTO,0,QmausZ9RHmCRqGRDavM4wtWfdvQcJAhcTswjxvywycCr7j,,
62,Crypto-Art,Hive On Mars,julesquirin,julesquirin_crypto-art_hive-on-mars,11,TRUE,SWAP.HIVE,PHOTO,0,QmeqtogLJKiURDywE95U6bhAD2T9t2DNeitP63GfLrW45N,,
63,Myths & Legends,An Axe,julesquirin,julesquirin_myths-legends_an-axe,33,TRUE,SWAP.HIVE,PHOTO,0,QmdDp7qQ9Bf8QqjnAAwDByd5quEi1T6c4u74xC5rJ6oDGZ,,
64,Myths & Legends,Dunes,julesquirin,julesquirin_myths-legends_dunes,33,TRUE,SWAP.HIVE,PHOTO,0,QmfB4UdYmMZMKXE1a3AirSejcGpFjfdCq9532EUi4ctNwG,,
65,Inner Thoughts,A Window,julesquirin,julesquirin_inner-thoughts_a-window,44,TRUE,SWAP.HIVE,PHOTO,0,QmUWUTg6qeKA2aETSpsKAGWVmmYf6w69SCeXqRX9kYvfAH,,
